,AttachTable,CollectionType,EffectType
50,MementoModifiers,Unit,"{'EFFECT_ADJUST_UNIT_SIGHT', 'EFFECT_ATTACH_MODIFIERS', 'EFFECT_PLAYER_ADJUST_YIELD_PER_UNIT_LEVEL', 'EFFECT_GRANT_YIELD_PER_XP_EARNED', 'EFFECT_ADJUST_UNIT_SUZERAIN_OF_COMBAT_MODIFIER', 'EFFECT_UNIT_ADJUST_HEAL_PER_TURN', 'EFFECT_ADJUST_UNIT_FOCUSED_ATTACK_DAMAGE', 'EFFECT_UNIT_ADJUST_MOVEMENT', 'EFFECT_GRANT_UNIT_RESPAWN_CHARGE', 'EFFECT_ADJUST_UNIT_COMBAT_STRENGTH_PREVIOUS_ENGAGEMENT_KILL_BONUS', 'EFFECT_ARMY_ADJUST_RESPAWN_SPEED', 'EFFECT_ARMY_ADJUST_EXPERIENCE_RATE', 'EFFECT_UNIT_ADJUST_ABILITY', 'EFFECT_UNIT_ADJUST_PLAYER_YIELD', 'EFFECT_ADJUST_UNIT_COMBAT_STRENGTH_MULTIPLE_ADJACENT_ENEMIES_MODIFIER'}"
51,MetaprogressionModifiers,COLLECTION_OWNER,"{'EFFECT_ATTACH_MODIFIERS', 'EFFECT_METAPROGRESSION_COMPLETE_CHALLENGE', 'EFFECT_METAPROGRESSION_SEND_EVENT'}"
52,MetaprogressionModifiers,COLLECTION_PLAYER_CITIES,"{'EFFECT_ATTACH_MODIFIERS', 'EFFECT_METAPROGRESSION_COMPLETE_CHALLENGE'}"
53,MetaprogressionModifiers,COLLECTION_PLAYER_UNITS,"{'EFFECT_METAPROGRESSION_COMPLETE_CHALLENGE', 'EFFECT_METAPROGRESSION_SEND_EVENT'}"
54,MetaprogressionModifiers,City,"{'EFFECT_ATTACH_MODIFIERS', 'EFFECT_METAPROGRESSION_COMPLETE_CHALLENGE'}"
55,MetaprogressionModifiers,Owner,"{'EFFECT_ATTACH_MODIFIERS', 'EFFECT_METAPROGRESSION_COMPLETE_CHALLENGE', 'EFFECT_METAPROGRESSION_SEND_EVENT'}"
56,MetaprogressionModifiers,Unit,"{'EFFECT_METAPROGRESSION_COMPLETE_CHALLENGE', 'EFFECT_METAPROGRESSION_SEND_EVENT'}"
57,NarrativeRewards,COLLECTION_ALL_UNITS,{'EFFECT_GRANT_UNIT_PROMOTION'}
58,NarrativeRewards,COLLECTION_ANY_CITY_AT_STORY,"{'EFFECT_CITY_TRANSFER_OWNER', 'EFFECT_CITY_DAMAGE_CONSTRUCTIBLES'}"
59,NarrativeRewards,COLLECTION_HOMELANDS_INDEPENDENT_NEAREST_STORY,"{'EFFECT_CHANGE_INDEPENDENT_AT_LOCATION_INVESTMENT', 'EFFECT_PLAYER_FORCE_MILITARY_OPERATION'}"
60,NarrativeRewards,COLLECTION_INDEPENDENT_NEAREST_STORY,{'EFFECT_CHANGE_INDEPENDENT_AT_LOCATION_INVESTMENT'}
61,NarrativeRewards,COLLECTION_INDEPENDENT_PLAYERS,{'EFFECT_PLAYER_SPAWN_TRIBE_ARMY'}
62,NarrativeRewards,COLLECTION_NARRATIVE_STORY,"{'EFFECT_PLOT_PLACE_RESOURCE', 'EFFECT_PLAYER_GRANT_UNIT_AT_PLOT'}"
63,NarrativeRewards,COLLECTION_OPPONENT_AT_STORY,"{'EFFECT_GRANT_GREAT_WORK', 'EFFECT_DECLARE_WAR'}"
64,NarrativeRewards,COLLECTION_OPPONENT_FROM_STORY,{'EFFECT_STEAL_MAP'}
65,NarrativeRewards,COLLECTION_OWNER,"{'EFFECT_ADD_RELIGIOUS_BELIEF_YIELD', 'EFFECT_ADD_EVENT_FREQUENCY_OVERRIDE', 'EFFECT_PLAYER_GRANT_FREE_PURCHASE_CHARGE', 'EFFECT_DIPLOMACY_ADJUST_DIPLOMATIC_ACTION_TYPE_EFFICIENCY', 'EFFECT_PLAYER_GRANT_YIELD_DISCOVERY', 'EFFECT_PLOT_DESTROY_DISCOVERY', 'EFFECT_MODIFY_PLAYER_YIELD_FOR_X_TURNS', 'EFFECT_PLAYER_ADJUST_YIELD_FOR_COMPLETING_NARRATIVE_EVENTS', 'EFFECT_DIPLOMACY_ADJUST_DIPLOMATIC_ACTION_TOKEN_BONUS', 'EFFECT_PLAYER_ADJUST_YIELD_PER_NUM_TRADE_ROUTES', 'EFFECT_ADJUST_PLAYER_OR_CITY_BUILDING_PURCHASE_EFFICIENCY', 'EFFECT_PLAYER_GRANT_NARRATIVE_TAG', 'EFFECT_PLAYER_ADJUST_YIELD_PER_RESOURCE_TYPE', 'EFFECT_GRANT_GREAT_WORK', 'EFFECT_PLAYER_UNLOCK_TRADITION', 'EFFECT_GRANT_ALL_PLAYERS_FAVORS_GRIEVANCES', 'EFFECT_PLAYER_GRANT_NAVAL_UNIT_WITH_OCEAN_ACCESS', 'EFFECT_PLAYER_DEDUCT_TREASURY_DISCOVERY', 'EFFECT_PLAYER_GRANT_PROGRESSION', 'EFFECT_PLAYER_ATTRIBUTE', 'EFFECT_PLAYER_DESTROY_UNIT_WITH_HIGHEST_LEVEL', 'EFFECT_PLAYER_GRANT_YIELD_NARRATIVE', 'EFFECT_PLAYER_GRANT_FAVORS_GRIEVANCES', 'EFFECT_ADD_PANTHEON', 'EFFECT_ADD_PLAYER_UNITS_PILLAGE_BUILDING_PLUNDER', 'EFFECT_PLAYER_SPAWN_TRIBE_NEAR', 'EFFECT_ADD_BELIEF', 'EFFECT_GRANT_EXHIBIT_GREAT_WORK', 'EFFECT_ADJUST_PLAYER_VALID_UNIT_BUILD', 'EFFECT_ADJUST_PLAYER_OR_CITY_UNIT_PURCHASE_EFFICIENCY', 'EFFECT_PLAYER_SET_GOVERNMENT', 'EFFECT_PLAYER_ADJUST_UNIT_MAINTENANCE_EFFICIENCY', 'EFFECT_ADD_PLAYER_UNITS_PILLAGE_IMPROVEMENT_PLUNDER', 'EFFECT_PLAYER_GRANT_GOLDEN_AGE', 'EFFECT_PLAYER_LOWER_ALL_INDEPENDENT_RELATIONSHIPS', 'EFFECT_PLAYER_ADJUST_YIELD_PER_SUZERAIN', 'EFFECT_PLAYER_GRANT_TRADITION_SLOTS', 'EFFECT_PLAYER_GRANT_UNIT_AT_PLOT', 'EFFECT_PLAYER_ADD_YIELD_DEBT_NARRATIVE', 'EFFECT_PLAYER_DEDUCT_TREASURY', 'EFFECT_PLAYER_DEDUCT_TREASURY_NARRATIVE', 'EFFECT_PLAYER_ADJUST_YIELD', 'EFFECT_PLAYER_GRANT_VICTORY_POINT'}"
66,NarrativeRewards,COLLECTION_OWNER_CITY_NEAREST_STORY,"{'EFFECT_CITY_GRANT_UNIT', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_YIELD', 'EFFECT_CITY_ADJUST_POPULATION', 'EFFECT_CITY_GRANT_YIELD_DISCOVERY'}"
67,NarrativeRewards,COLLECTION_OWNER_COMMANDER_HIGHEST_LEVEL,"{'EFFECT_GRANT_UNIT_PROMOTION', 'EFFECT_UNIT_ADJUST_DAMAGE'}"
68,NarrativeRewards,COLLECTION_OWNER_COMMANDER_NEAREST_STORY,{'EFFECT_GRANT_UNIT_PROMOTION'}
69,NarrativeRewards,COLLECTION_OWNER_UNIT_NEAREST_STORY,{'EFFECT_UNIT_ADJUST_DAMAGE'}
70,NarrativeRewards,COLLECTION_PLAYER_CAPITAL_CITY,"{'EFFECT_CITY_ADJUST_UNIT_PRODUCTION', 'EFFECT_CITY_ADJUST_WONDER_PRODUCTION', 'EFFECT_CITY_ADJUST_RESOURCE_CAP', 'EFFECT_CITY_ADJUST_WORKER_YIELD', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_PRODUCTION', 'EFFECT_CITY_ADJUST_YIELD', 'EFFECT_CITY_GRANT_UNIT', 'EFFECT_PLAYER_GRANT_YIELD_DISCOVERY', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_YIELD', 'EFFECT_PLAYER_DEDUCT_TREASURY_DISCOVERY', 'EFFECT_MODIFY_CITY_YIELD_FOR_X_TURNS', 'EFFECT_CITY_GRANT_YIELD_DISCOVERY', 'EFFECT_CITY_DAMAGE_CONSTRUCTIBLES', 'EFFECT_CITY_ADJUST_WORKER_CAP', 'EFFECT_CITY_ADJUST_POPULATION', 'EFFECT_ADD_COMMANDER_WITH_UNITS'}"
71,NarrativeRewards,COLLECTION_PLAYER_CAPITAL_CITY_DISTRICTS,{'EFFECT_DISTRICT_ADJUST_TOTAL_HEALTH'}
72,NarrativeRewards,COLLECTION_PLAYER_CITIES,"{'EFFECT_CITY_ADJUST_GREAT_WORK_SLOTS', 'EFFECT_CITY_ADJUST_UNIT_PRODUCTION', 'EFFECT_CITY_ADJUST_WONDER_PRODUCTION', 'EFFECT_ADJUST_TOWN_CAN_PURCHASE_TAGGED_CONSTRUCTIBLES', 'EFFECT_CITY_ADJUST_WORKER_YIELD', 'EFFECT_CITY_ADJUST_TRADE_ROUTE_RANGE', 'EFFECT_CITY_ADJUST_UNHAPPINESS_EFFECT', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_PRODUCTION', 'EFFECT_ADJUST_PLAYER_OR_CITY_UNIT_PURCHASE_EFFICIENCY', 'EFFECT_CITY_ADJUST_YIELD', 'EFFECT_CITY_GRANT_UNIT', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_YIELD', 'EFFECT_CITY_DAMAGE_CONSTRUCTIBLES', 'EFFECT_CITY_ADJUST_YIELD_PER_NUM_TRADE_ROUTES', 'EFFECT_CITY_ADJUST_YIELD_PER_GREAT_WORK', 'EFFECT_CITY_ADJUST_POPULATION', 'EFFECT_ADJUST_PLAYER_OR_CITY_BUILDING_PURCHASE_EFFICIENCY'}"
73,NarrativeRewards,COLLECTION_PLAYER_DISTRICTS,"{'EFFECT_DISTRICT_ADJUST_TOTAL_HEALTH', 'EFFECT_DISTRICT_ADJUST_HEAL_PER_TURN'}"
74,NarrativeRewards,COLLECTION_PLAYER_PLOT_YIELDS,{'EFFECT_PLOT_ADJUST_YIELD'}
75,NarrativeRewards,COLLECTION_PLAYER_UNITS,"{'EFFECT_GRANT_YIELD_PER_XP_EARNED', 'EFFECT_ADJUST_PLAYER_UNITS_PILLAGE_BUILDING_MODIFIER', 'EFFECT_UNIT_ADJUST_DAMAGE', 'EFFECT_GRANT_UNIT_EXPERIENCE', 'EFFECT_ADJUST_UNIT_BUILDING_PILLAGE_YIELD_MODIFIER', 'EFFECT_GRANT_UNIT_PROMOTION', 'EFFECT_ADJUST_UNIT_IMPROVEMENT_PILLAGE_YIELD_MODIFIER', 'EFFECT_ADJUST_UNIT_PERCENT_PILLAGE_BUILDING_MODIFIER', 'EFFECT_UNIT_ADJUST_ABILITY', 'EFFECT_UNIT_ADJUST_HEAL_PER_TURN', 'EFFECT_ADJUST_UNIT_PERCENT_PILLAGE_IMPROVEMENT_MODIFIER', 'EFFECT_ADJUST_PLAYER_UNITS_PILLAGE_IMPROVEMENT_MODIFIER'}"
76,NarrativeRewards,COLLECTION_UNIT_COMBAT,{'EFFECT_ADJUST_UNIT_STRENGTH_MODIFIER'}
77,NarrativeRewards,City,"{'EFFECT_CITY_ADJUST_WONDER_PRODUCTION', 'EFFECT_ADJUST_TOWN_CAN_PURCHASE_TAGGED_CONSTRUCTIBLES', 'EFFECT_CITY_ADJUST_WORKER_YIELD', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_YIELD', 'EFFECT_CITY_ADJUST_WORKER_CAP', 'EFFECT_ADJUST_PLAYER_OR_CITY_BUILDING_PURCHASE_EFFICIENCY', 'EFFECT_CITY_ADJUST_TRADE_ROUTE_RANGE', 'EFFECT_CITY_ADJUST_UNHAPPINESS_EFFECT', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_PRODUCTION', 'EFFECT_PLAYER_DEDUCT_TREASURY_DISCOVERY', 'EFFECT_MODIFY_CITY_YIELD_FOR_X_TURNS', 'EFFECT_CITY_DAMAGE_CONSTRUCTIBLES', 'EFFECT_CITY_TRANSFER_OWNER', 'EFFECT_CITY_ADJUST_RESOURCE_CAP', 'EFFECT_CITY_GRANT_UNIT', 'EFFECT_CITY_GRANT_YIELD_DISCOVERY', 'EFFECT_CITY_ADJUST_POPULATION', 'EFFECT_CITY_ADJUST_UNIT_PRODUCTION', 'EFFECT_CITY_ADJUST_YIELD'}"
78,NarrativeRewards,Commander,"{'EFFECT_GRANT_UNIT_PROMOTION', 'EFFECT_UNIT_ADJUST_DAMAGE'}"
79,NarrativeRewards,District,{'EFFECT_DISTRICT_ADJUST_TOTAL_HEALTH'}
80,NarrativeRewards,Narrative,{'EFFECT_PLOT_PLACE_RESOURCE'}
81,NarrativeRewards,Owner,"{'EFFECT_ADD_EVENT_FREQUENCY_OVERRIDE', 'EFFECT_PLAYER_GRANT_FREE_PURCHASE_CHARGE', 'EFFECT_DIPLOMACY_ADJUST_DIPLOMATIC_ACTION_TYPE_EFFICIENCY', 'EFFECT_PLAYER_GRANT_YIELD_DISCOVERY', 'EFFECT_PLOT_DESTROY_DISCOVERY', 'EFFECT_MODIFY_PLAYER_YIELD_FOR_X_TURNS', 'EFFECT_DIPLOMACY_ADJUST_DIPLOMATIC_ACTION_TOKEN_BONUS', 'EFFECT_PLAYER_GRANT_NARRATIVE_TAG', 'EFFECT_PLAYER_ADJUST_YIELD_PER_RESOURCE_TYPE', 'EFFECT_GRANT_GREAT_WORK', 'EFFECT_PLAYER_UNLOCK_TRADITION', 'EFFECT_PLAYER_GRANT_NAVAL_UNIT_WITH_OCEAN_ACCESS', 'EFFECT_PLAYER_DEDUCT_TREASURY_DISCOVERY', 'EFFECT_PLAYER_GRANT_PROGRESSION', 'EFFECT_PLAYER_ATTRIBUTE', 'EFFECT_PLAYER_GRANT_YIELD_NARRATIVE', 'EFFECT_PLAYER_GRANT_FAVORS_GRIEVANCES', 'EFFECT_ADD_PANTHEON', 'EFFECT_PLAYER_SPAWN_TRIBE_NEAR', 'EFFECT_ADJUST_PLAYER_OR_CITY_UNIT_PURCHASE_EFFICIENCY', 'EFFECT_PLAYER_SET_GOVERNMENT', 'EFFECT_PLAYER_GRANT_GOLDEN_AGE', 'EFFECT_PLAYER_LOWER_ALL_INDEPENDENT_RELATIONSHIPS', 'EFFECT_PLAYER_GRANT_TRADITION_SLOTS', 'EFFECT_PLAYER_GRANT_UNIT_AT_PLOT', 'EFFECT_PLAYER_ADD_YIELD_DEBT_NARRATIVE', 'EFFECT_PLAYER_DEDUCT_TREASURY', 'EFFECT_PLAYER_DEDUCT_TREASURY_NARRATIVE', 'EFFECT_PLAYER_ADJUST_YIELD'}"
82,NarrativeRewards,Player,"{'EFFECT_PLAYER_SPAWN_TRIBE_ARMY', 'EFFECT_CHANGE_INDEPENDENT_AT_LOCATION_INVESTMENT', 'EFFECT_PLAYER_FORCE_MILITARY_OPERATION'}"
83,NarrativeRewards,Plot,{'EFFECT_PLOT_ADJUST_YIELD'}
84,NarrativeRewards,Unit,"{'EFFECT_GRANT_YIELD_PER_XP_EARNED', 'EFFECT_UNIT_ADJUST_DAMAGE', 'EFFECT_GRANT_UNIT_EXPERIENCE', 'EFFECT_GRANT_UNIT_PROMOTION', 'EFFECT_UNIT_ADJUST_ABILITY', 'EFFECT_UNIT_ADJUST_HEAL_PER_TURN'}"
85,PlayerModifiers,COLLECTION_ALL_PLOT_YIELDS,{'EFFECT_REVEAL_PLOTS'}
86,PlayerModifiers,COLLECTION_OWNER,"{'EFFECT_PLAYER_ADJUST_LEGACY_PATH_GREAT_WORK_SCORING', 'EFFECT_PLAYER_ADJUST_LEGACY_PATH_WONDER_SCORING', 'EFFECT_PLAYER_ADJUST_LEGACY_PATH_SETTLEMENT_SCORING', 'EFFECT_PLAYER_ADJUST_LEGACY_PATH_RESOURCE_SCORING', 'EFFECT_PLAYER_ADJUST_LEGACY_PATH_HIGH_YIELD_DISTRICT_SCORING', 'EFFECT_PLAYER_ADJUST_LEGACY_PATH_SETTLEMENT_COUNT_SCORING'}"
87,PlayerModifiers,COLLECTION_PLAYER_UNITS,"{'EFFECT_ADJUST_UNIT_VALID_TERRAIN', 'EFFECT_UNIT_ADJUST_COMBAT_STRENGTH_PER_GAME_DIFFICULTY'}"
88,PlayerModifiers,Owner,"{'EFFECT_PLAYER_ADJUST_LEGACY_PATH_SETTLEMENT_COUNT_SCORING', 'EFFECT_PLAYER_ADJUST_LEGACY_PATH_GREAT_WORK_SCORING', 'EFFECT_PLAYER_ADJUST_LEGACY_PATH_RESOURCE_SCORING', 'EFFECT_PLAYER_ADJUST_LEGACY_PATH_WONDER_SCORING'}"
89,PlayerModifiers,Plot,{'EFFECT_REVEAL_PLOTS'}
90,PlayerModifiers,Unit,"{'EFFECT_ADJUST_UNIT_VALID_TERRAIN', 'EFFECT_UNIT_ADJUST_COMBAT_STRENGTH_PER_GAME_DIFFICULTY'}"
91,ProjectModifiers,COLLECTION_OWNER,"{'EFFECT_ATTACH_MODIFIERS', 'EFFECT_CITY_ADJUST_YIELD_PER_CONNECTED_CITY', 'EFFECT_CITY_GRANT_WAREHOUSE_YIELD'}"
92,ProjectModifiers,Owner,"{'EFFECT_ATTACH_MODIFIERS', 'EFFECT_CITY_GRANT_WAREHOUSE_YIELD'}"
93,TraditionModifiers,COLLECTION_ALL_CITIES,"{'EFFECT_CITY_ADJUST_UNIT_PRODUCTION', 'EFFECT_CITY_ADJUST_YIELD'}"
94,TraditionModifiers,COLLECTION_ALL_UNITS,{'EFFECT_UNIT_ADJUST_MOVEMENT'}
95,TraditionModifiers,COLLECTION_CITIES_FOLLOWING_OWNER_RELIGION,"{'EFFECT_CITY_GRANT_UNIT', 'EFFECT_CITY_DAMAGE_CONSTRUCTIBLES'}"
96,TraditionModifiers,COLLECTION_CITY_PLOT_YIELDS,{'EFFECT_PLOT_ADJUST_YIELD'}
97,TraditionModifiers,COLLECTION_OWNER,"{'EFFECT_DIPLOMACY_ADJUST_DIPLOMATIC_ACTION_TYPE_EFFICIENCY', 'EFFECT_PLAYER_ADJUST_YIELD_PER_RESOURCE', 'EFFECT_MODIFY_PLAYER_TRADE_YIELD_CONVERSION', 'EFFECT_PLAYER_ADJUST_UNIT_PRODUCTION_PER_OTHER_UNIT_TYPE', 'EFFECT_PLAYER_ADJUST_YIELD_PER_NUM_TRADE_ROUTES', 'EFFECT_PLAYER_ADJUST_SETTLEMENT_CAP', 'EFFECT_ADJUST_PLAYER_OR_CITY_BUILDING_PURCHASE_EFFICIENCY', 'EFFECT_ADJUST_PLAYER_UNITS_PILLAGE_IMPROVEMENT_MODIFIER', 'EFFECT_PLAYER_ADJUST_YIELD_FROM_DISTATERS', 'EFFECT_PLAYER_ADJUST_YIELD_PER_NUM_CITIES', 'EFFECT_DIPLOMACY_ADJUST_YIELD_PER_PLAYER_RELATIONSHIP', 'EFFECT_ADJUST_PLAYER_ALLIANCE_TRADE', 'EFFECT_DIPLOMACY_AGENDA_TIMED_UPDATE', 'EFFECT_PLAYER_ADJUST_PROGRESSION_TREE_EFFICIENCY', 'EFFECT_ADJUST_PLAYER_UNITS_PILLAGE_BUILDING_MODIFIER', 'EFFECT_PLAYER_ADJUST_YIELD_PER_ATTRIBUTE_AND_ALLIANCES', 'EFFECT_ADJUST_PLAYER_OR_CITY_UNIT_PURCHASE_EFFICIENCY', 'EFFECT_PLAYER_ADJUST_UNIT_MAINTENANCE_EFFICIENCY', 'TRIGGER_PLAYER_GRANT_YIELD_ON_UNIT_CREATED', 'EFFECT_PLAYER_ADJUST_YIELD_PER_ACTIVE_TRADITION', 'EFFECT_PLAYER_ADJUST_YIELD_PER_SUZERAIN', 'EFFECT_PLAYER_ADJUST_CONSTRUCTIBLE_YIELD', 'EFFECT_PLAYER_ADJUST_YIELD', 'EFFECT_DIPLOMACY_ADJUST_DIPLOMATIC_ACTION_TYPE_EFFICIENCY_PER_GREAT_WORK', 'EFFECT_PLAYER_ADJUST_CONSTRUCTIBLE_YIELD_BY_ATTRIBUTE'}"
98,TraditionModifiers,COLLECTION_PLAYER_CAPITAL_CITY,"{'EFFECT_ATTACH_MODIFIERS', 'EFFECT_CITY_ADJUST_YIELD_PER_COMMANDER_LEVEL', 'EFFECT_CITY_ADJUST_UNIT_PRODUCTION_MOD_PER_SETTLEMENT', 'EFFECT_CITY_ADJUST_YIELD_PER_POPULATION', 'EFFECT_CITY_ADJUST_YIELD_PER_UNDER_SETTLEMENT_CAP', 'EFFECT_DIPLOMACY_ADJUST_CITY_YIELD_PER_PLAYER_RELATIONSHIP'}"
99,TraditionModifiers,COLLECTION_PLAYER_CITIES,"{'EFFECT_CITY_ADJUST_WONDER_PRODUCTION', 'EFFECT_ATTACH_MODIFIERS', 'EFFECT_CITY_ADJUST_WORKER_YIELD', 'EFFECT_CITY_GRANT_WAREHOUSE_YIELD', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_YIELD', 'EFFECT_CITY_ACTIVATE_CONSTRUCTIBLE_WAREHOUSE_YIELD', 'EFFECT_CITY_ADJUST_TRADE_ROUTE_RANGE', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_PRODUCTION', 'EFFECT_CITY_ADJUST_YIELD_PER_SURPLUS_HAPPINESS', 'EFFECT_CITY_ADJUST_TRADE_YIELD', 'EFFECT_CITY_ADJUST_ADJACENCY_FLAT_AMOUNT', 'EFFECT_CITY_ADJUST_WORKER_MAINTENANCE_EFFICIENCY', 'EFFECT_CITY_ADJUST_YIELD_PER_ACTIVE_TRADITION', 'EFFECT_CITY_ADJUST_AVOID_RANDOM_EVENT', 'EFFECT_CITY_ADJUST_RESOURCE_CAP', 'EFFECT_CITY_ADJUST_YIELD_PER_COMMANDER_LEVEL', 'EFFECT_CITY_ADJUST_YIELD_PER_ATTRIBUTE', 'EFFECT_CITY_ADJUST_PROJECT_PRODUCTION', 'EFFECT_CITY_ACTIVATE_CONSTRUCTIBLE_ADJACENCY', 'EFFECT_CITY_GRANT_UNIT', 'EFFECT_CITY_ADJUST_YIELD_PER_POPULATION', 'EFFECT_CITY_ADJUST_YIELD_PER_RESOURCE', 'EFFECT_CITY_ADJUST_OVERBUILD_PRODUCTION_MOD', 'EFFECT_CITY_ADJUST_YIELD_PER_GREAT_WORK', 'EFFECT_CITY_ADJUST_BUILDING_MAINTENANCE_EFFICIENCY', 'EFFECT_DIPLOMACY_ADJUST_CITY_YIELD_PER_PLAYER_RELATIONSHIP', 'EFFECT_CITY_ADJUST_UNIT_PRODUCTION', 'TRIGGER_CITY_GRANT_YIELD_ON_CONSTRUCTIBLE_CREATED', 'EFFECT_CITY_ADJUST_YIELD', 'EFFECT_CITY_ADJUST_GROWTH', 'EFFECT_ADJUST_CITY_REPAIR_PURCHASE_EFFICIENCY', 'EFFECT_CITY_ADJUST_YIELD_PER_SUZERAIN'}"
100,TraditionModifiers,COLLECTION_PLAYER_COMBAT,"{'EFFECT_ADJUST_UNIT_POST_COMBAT_YIELD', 'EFFECT_ADJUST_UNIT_STRENGTH_MODIFIER'}"
101,TraditionModifiers,COLLECTION_PLAYER_DISTRICTS,{'EFFECT_DISTRICT_ADJUST_FORTIFIED_COMBAT_STRENGTH'}
102,TraditionModifiers,COLLECTION_PLAYER_INFECTED_CITIES,{'EFFECT_CITY_GRANT_UNIT'}
103,TraditionModifiers,COLLECTION_PLAYER_PLOT_YIELDS,{'EFFECT_PLOT_ADJUST_YIELD'}
104,TraditionModifiers,COLLECTION_PLAYER_UNITS,"{'EFFECT_ATTACH_MODIFIERS', 'EFFECT_ADJUST_UNIT_SIGHT', 'EFFECT_ARMY_ADJUST_MOVEMENT_RATE', 'EFFECT_ADJUST_UNIT_IMPROVEMENT_PILLAGE_YIELD_MODIFIER', 'EFFECT_ADJUST_UNIT_COASTAL_RAID_YIELD_MODIFIER', 'EFFECT_ADJUST_UNIT_CIV_UNIQUE_TRADITION_COMBAT_MODIFIER', 'EFFECT_RESTORE_UNIT_MOVEMENT', 'EFFECT_ADJUST_UNIT_PERCENT_PILLAGE_BUILDING_MODIFIER', 'EFFECT_UNIT_ADJUST_MOVEMENT', 'EFFECT_ADJUST_UNIT_SPREAD_CHARGES', 'EFFECT_ADJUST_UNIT_PLUNDER_YIELDS', 'EFFECT_ARMY_ADJUST_EXPERIENCE_RATE', 'EFFECT_UNIT_ADJUST_COMMAND_AWARD', 'EFFECT_UNIT_ADJUST_ABILITY', 'EFFECT_UNIT_ADJUST_HEAL_PER_TURN', 'EFFECT_ADJUST_UNIT_PERCENT_PILLAGE_IMPROVEMENT_MODIFIER', 'EFFECT_ADJUST_UNIT_NO_REDUCTION_DAMAGE', 'EFFECT_ADJUST_UNIT_IGNORE_ZOC'}"
105,TraditionModifiers,COLLECTION_UNIT_COMBAT,"{'EFFECT_UNIT_ADJUST_MOVEMENT', 'EFFECT_DIPLOMACY_ADJUST_UNIT_MAINTENANCE_PER_PLAYER_RELATIONSHIP'}"
106,TraditionModifiers,City,"{'EFFECT_ATTACH_MODIFIERS', 'EFFECT_CITY_ADJUST_WONDER_PRODUCTION', 'EFFECT_CITY_ADJUST_WORKER_YIELD', 'EFFECT_CITY_GRANT_WAREHOUSE_YIELD', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_YIELD', 'EFFECT_CITY_ACTIVATE_CONSTRUCTIBLE_WAREHOUSE_YIELD', 'EFFECT_CITY_ADJUST_TRADE_ROUTE_RANGE', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_PRODUCTION', 'EFFECT_CITY_ADJUST_YIELD_PER_SURPLUS_HAPPINESS', 'EFFECT_CITY_ADJUST_TRADE_YIELD', 'EFFECT_CITY_ADJUST_YIELD_PER_UNDER_SETTLEMENT_CAP', 'EFFECT_CITY_ADJUST_WORKER_MAINTENANCE_EFFICIENCY', 'EFFECT_CITY_ADJUST_YIELD_PER_ACTIVE_TRADITION', 'EFFECT_CITY_ADJUST_AVOID_RANDOM_EVENT', 'EFFECT_CITY_ADJUST_RESOURCE_CAP', 'EFFECT_CITY_ADJUST_YIELD_PER_COMMANDER_LEVEL', 'EFFECT_CITY_ACTIVATE_CONSTRUCTIBLE_ADJACENCY', 'EFFECT_CITY_GRANT_UNIT', 'EFFECT_CITY_ADJUST_YIELD_PER_POPULATION', 'EFFECT_CITY_ADJUST_YIELD_PER_RESOURCE', 'EFFECT_CITY_ADJUST_YIELD_PER_GREAT_WORK', 'EFFECT_DIPLOMACY_ADJUST_CITY_YIELD_PER_PLAYER_RELATIONSHIP', 'EFFECT_CITY_ADJUST_UNIT_PRODUCTION', 'TRIGGER_CITY_GRANT_YIELD_ON_CONSTRUCTIBLE_CREATED', 'EFFECT_CITY_ADJUST_UNIT_PRODUCTION_MOD_PER_SETTLEMENT', 'EFFECT_CITY_ADJUST_YIELD', 'EFFECT_CITY_ADJUST_GROWTH', 'EFFECT_ADJUST_CITY_REPAIR_PURCHASE_EFFICIENCY', 'EFFECT_CITY_ADJUST_YIELD_PER_SUZERAIN'}"
107,TraditionModifiers,Combat,"{'EFFECT_ADJUST_UNIT_POST_COMBAT_YIELD', 'EFFECT_ADJUST_UNIT_STRENGTH_MODIFIER'}"
